t_s,theta_deg,alpha_deg,alpha_dot_hat,theta_dot_hat,u_fb,u_fric,u_total,dt_ms
20.720,-56.50,5.63,1.659,-0.369,0.028,-0.127,-0.099,0.3
20.722,-56.65,5.80,1.711,-0.402,0.058,-0.127,-0.069,2.1
20.722,-56.65,5.80,1.709,-0.400,0.059,-0.127,-0.068,0.2
20.726,-56.74,5.80,1.688,-0.377,0.067,-0.127,-0.060,3.7
20.726,-56.74,5.80,1.683,-0.373,0.065,-0.127,-0.062,0.2
20.730,-56.87,5.80,1.614,-0.316,0.049,-0.125,-0.076,3.8
20.730,-56.89,5.80,1.610,-0.313,0.047,-0.125,-0.077,0.2
20.734,-57.02,5.80,1.582,-0.284,0.040,-0.123,-0.083,3.8
20.734,-57.02,5.80,1.579,-0.281,0.039,-0.123,-0.084,0.2
20.738,-57.16,5.80,1.569,-0.267,0.037,-0.122,-0.085,3.7
20.738,-57.16,5.80,1.567,-0.265,0.036,-0.121,-0.085,0.2
20.742,-57.27,5.98,1.631,-0.302,0.079,-0.124,-0.045,3.8
20.742,-57.27,5.98,1.626,-0.298,0.078,-0.124,-0.046,0.2
20.746,-57.35,5.98,1.546,-0.230,0.063,-0.117,-0.055,3.8
20.746,-57.37,5.98,1.539,-0.225,0.061,-0.117,-0.056,0.3
20.748,-57.46,5.98,1.510,-0.199,0.055,-0.112,-0.058,2.0
20.748,-57.46,5.98,1.506,-0.195,0.053,-0.111,-0.058,0.2
20.750,-57.51,5.98,1.469,-0.164,0.042,-0.103,-0.061,2.2
20.751,-57.51,5.98,1.466,-0.160,0.041,-0.102,-0.061,0.2
20.755,-57.55,5.98,1.408,-0.109,0.022,-0.080,-0.059,3.9
20.755,-57.57,5.98,1.405,-0.106,0.021,-0.078,-0.058,0.2
20.759,-57.64,5.98,1.357,-0.062,0.004,-0.050,-0.046,3.9
20.759,-57.64,5.98,1.350,-0.056,0.002,-0.046,-0.044,0.3
20.761,-57.70,5.98,1.313,-0.024,-0.011,-0.020,-0.031,2.1
20.761,-57.70,5.98,1.307,-0.019,-0.013,-0.016,-0.029,0.2
20.765,-57.75,5.98,1.221,0.053,-0.044,0.033,-0.011,3.6
20.765,-57.75,5.98,1.215,0.057,-0.046,0.036,-0.011,0.2
20.769,-57.81,5.98,1.101,0.150,-0.088,0.075,-0.014,3.9
20.769,-57.81,5.98,1.096,0.154,-0.090,0.076,-0.015,0.2
20.773,-57.86,5.98,1.020,0.219,-0.120,0.088,-0.032,3.7
20.773,-57.86,5.98,1.019,0.221,-0.121,0.088,-0.032,0.2
20.775,-57.92,6.15,1.066,0.194,-0.092,0.084,-0.008,2.3
20.776,-57.92,6.15,1.065,0.195,-0.091,0.085,-0.007,0.2
20.779,-57.92,5.98,0.975,0.270,-0.126,0.093,-0.033,3.8
20.780,-57.92,5.98,0.975,0.272,-0.127,0.093,-0.033,0.2
20.782,-57.92,5.98,0.968,0.283,-0.131,0.094,-0.037,2.3
20.782,-57.92,5.98,0.968,0.284,-0.131,0.094,-0.037,0.2
20.786,-57.92,5.98,0.979,0.287,-0.127,0.094,-0.033,3.7
20.786,-57.92,5.98,0.979,0.288,-0.127,0.094,-0.033,0.2
20.790,-57.90,5.98,0.984,0.296,-0.123,0.094,-0.028,3.8
20.790,-57.90,5.98,0.984,0.297,-0.122,0.094,-0.028,0.2
20.794,-57.88,5.98,0.978,0.313,-0.119,0.095,-0.024,3.8
20.794,-57.88,5.98,0.978,0.314,-0.119,0.095,-0.023,0.2
20.798,-57.90,5.98,0.977,0.327,-0.110,0.096,-0.015,3.8
20.798,-57.90,5.98,0.976,0.328,-0.110,0.096,-0.015,0.2
20.802,-57.90,5.98,0.958,0.354,-0.106,0.096,-0.010,3.8
20.802,-57.90,5.98,0.956,0.356,-0.106,0.096,-0.010,0.3
20.806,-57.88,5.98,0.926,0.390,-0.108,0.097,-0.011,3.7
20.806,-57.90,5.98,0.925,0.392,-0.107,0.097,-0.010,0.3
20.810,-57.88,6.15,0.977,0.368,-0.059,0.097,0.037,3.7
20.810,-57.88,6.15,0.973,0.372,-0.059,0.097,0.037,0.2
20.814,-57.88,6.15,0.883,0.451,-0.065,0.098,0.032,3.8
20.814,-57.88,6.15,0.878,0.455,-0.066,0.098,0.032,0.2
20.818,-57.88,6.15,0.795,0.530,-0.076,0.098,0.021,3.8
20.818,-57.88,6.15,0.792,0.533,-0.076,0.098,0.021,0.2
20.822,-57.88,6.33,0.821,0.528,-0.031,0.098,0.067,3.8
20.822,-57.88,6.33,0.817,0.532,-0.031,0.098,0.067,0.2
20.826,-57.86,6.33,0.701,0.631,-0.041,0.098,0.057,3.9
20.826,-57.88,6.33,0.698,0.635,-0.042,0.098,0.057,0.2
20.830,-57.86,6.33,0.616,0.710,-0.048,0.098,0.051,3.7
20.830,-57.88,6.33,0.613,0.712,-0.047,0.098,0.051,0.2
20.832,-57.86,6.50,0.629,0.711,-0.018,0.098,0.080,2.1
20.832,-57.88,6.50,0.626,0.714,-0.017,0.098,0.081,0.3
20.835,-57.86,6.50,0.587,0.754,-0.006,0.098,0.093,2.4
20.835,-57.86,6.50,0.583,0.757,-0.005,0.098,0.093,0.2
20.839,-57.86,6.50,0.487,0.844,-0.005,0.098,0.093,3.9
20.839,-57.86,6.50,0.482,0.849,-0.006,0.098,0.093,0.2
20.843,-57.86,6.68,0.470,0.877,0.038,0.098,0.136,3.8
20.843,-57.86,6.68,0.464,0.882,0.038,0.098,0.136,0.2
20.847,-57.86,6.68,0.326,1.001,0.029,0.098,0.128,3.9
20.847,-57.86,6.68,0.319,1.006,0.029,0.098,0.127,0.2
20.851,-57.83,6.86,0.279,1.055,0.065,0.098,0.163,3.8
20.851,-57.83,6.86,0.273,1.061,0.065,0.098,0.163,0.2
20.855,-57.83,6.86,0.134,1.181,0.058,0.098,0.156,3.8
20.855,-57.83,6.86,0.130,1.185,0.058,0.098,0.156,0.1
20.859,-57.81,7.03,0.087,1.238,0.098,0.098,0.196,3.9
20.859,-57.81,7.03,0.079,1.244,0.098,0.098,0.196,0.2
20.862,-57.77,7.03,-0.049,1.354,0.088,0.098,0.186,3.0
20.862,-57.77,7.03,-0.056,1.360,0.088,0.098,0.186,0.2
20.866,-57.72,7.03,-0.183,1.473,0.079,0.098,0.177,3.8
20.866,-57.72,7.03,-0.187,1.477,0.080,0.098,0.178,0.2
20.870,-57.64,7.03,-0.280,1.566,0.078,0.098,0.177,3.8
20.870,-57.61,7.03,-0.283,1.568,0.079,0.098,0.177,0.2
20.874,-57.53,7.03,-0.354,1.642,0.085,0.098,0.183,3.8
20.874,-57.53,7.03,-0.355,1.644,0.085,0.098,0.184,0.2
20.878,-57.40,7.03,-0.418,1.709,0.091,0.098,0.189,3.4
20.878,-57.40,7.03,-0.419,1.711,0.092,0.098,0.189,0.2
20.882,-57.27,7.03,-0.484,1.780,0.100,0.098,0.198,3.9
20.882,-57.27,7.03,-0.486,1.782,0.101,0.098,0.199,0.2
20.886,-57.09,7.03,-0.559,1.858,0.106,0.098,0.204,3.8
20.886,-57.07,7.03,-0.561,1.860,0.107,0.098,0.205,0.2
20.890,-56.87,6.86,-0.715,1.994,0.063,0.098,0.161,3.8
20.890,-56.87,6.86,-0.713,1.993,0.065,0.098,0.163,0.1
20.892,-56.63,6.86,-0.721,2.011,0.069,0.098,0.167,2.1
20.892,-56.63,6.68,-0.723,2.013,0.068,0.098,0.167,0.2
20.896,-56.50,6.68,-0.772,2.070,0.055,0.098,0.152,3.8
20.896,-56.48,6.68,-0.768,2.068,0.057,0.098,0.155,0.2
20.898,-56.24,6.50,-0.799,2.102,0.042,0.098,0.141,2.2
20.898,-56.22,6.50,-0.797,2.102,0.043,0.098,0.141,0.2
20.902,-56.08,6.50,-0.745,2.086,0.069,0.098,0.167,3.9
20.902,-56.06,6.50,-0.741,2.084,0.072,0.098,0.170,0.2
20.906,-55.78,6.33,-0.802,2.148,0.051,0.098,0.149,3.8
20.906,-55.76,6.33,-0.797,2.145,0.054,0.098,0.152,0.2
20.910,-55.47,6.15,-0.830,2.188,0.037,0.098,0.135,3.8
20.910,-55.47,6.15,-0.822,2.183,0.041,0.098,0.139,0.2
20.914,-55.17,5.98,-0.824,2.203,0.032,0.098,0.130,3.8
20.914,-55.17,5.98,-0.815,2.197,0.036,0.098,0.135,0.2
20.918,-54.86,5.80,-0.808,2.209,0.031,0.098,0.129,3.8
20.918,-54.84,5.80,-0.799,2.204,0.035,0.098,0.133,0.2
20.921,-54.55,5.80,-0.760,2.187,0.053,0.098,0.151,2.2
20.921,-54.53,5.80,-0.756,2.184,0.056,0.098,0.154,0.2
20.925,-54.36,5.63,-0.775,2.216,0.050,0.098,0.147,3.9
20.925,-54.34,5.63,-0.769,2.212,0.053,0.098,0.151,0.2
20.929,-54.01,5.45,-0.809,2.257,0.033,0.098,0.131,3.7
20.929,-54.01,5.45,-0.801,2.252,0.036,0.098,0.135,0.2
20.933,-53.68,5.27,-0.806,2.270,0.025,0.098,0.123,3.8
20.933,-53.66,5.27,-0.796,2.264,0.030,0.098,0.128,0.2
20.937,-53.33,5.10,-0.789,2.273,0.021,0.098,0.119,3.8
20.937,-53.31,5.10,-0.781,2.268,0.025,0.098,0.123,0.2
20.941,-52.98,4.92,-0.767,2.272,0.018,0.098,0.116,3.9
20.941,-52.96,4.92,-0.760,2.267,0.022,0.098,0.120,0.2
20.945,-52.61,4.75,-0.750,2.272,0.013,0.098,0.111,3.8
20.945,-52.59,4.75,-0.741,2.267,0.017,0.098,0.115,0.2
20.949,-52.26,4.57,-0.722,2.265,0.012,0.098,0.109,3.8
20.949,-52.24,4.57,-0.714,2.260,0.015,0.098,0.113,0.2
20.953,-51.89,4.39,-0.702,2.262,0.006,0.098,0.104,3.8
20.953,-51.87,4.39,-0.693,2.256,0.010,0.098,0.107,0.2
20.957,-51.54,4.39,-0.589,2.193,0.053,0.098,0.151,4.0
20.957,-51.52,4.39,-0.583,2.189,0.058,0.098,0.156,0.2
20.961,-51.19,4.22,-0.646,2.245,0.036,0.098,0.135,3.6
20.961,-51.17,4.22,-0.641,2.241,0.040,0.098,0.138,0.2
20.965,-50.86,4.04,-0.685,2.283,0.015,0.098,0.113,3.8
20.965,-50.84,4.04,-0.679,2.278,0.018,0.098,0.116,0.2
20.969,-50.51,3.87,-0.679,2.287,0.005,0.098,0.103,3.8
20.969,-50.49,3.87,-0.665,2.277,0.010,0.098,0.108,0.3
20.973,-50.18,3.69,-0.639,2.266,0.007,0.098,0.105,3.7
20.973,-50.14,3.69,-0.630,2.260,0.011,0.098,0.109,0.2
20.977,-49.81,3.69,-0.549,2.209,0.044,0.098,0.143,3.9
20.977,-49.79,3.52,-0.548,2.208,0.045,0.098,0.144,0.2
20.979,-49.46,3.52,-0.589,2.242,0.028,0.098,0.126,2.3
20.980,-49.44,3.52,-0.586,2.240,0.029,0.098,0.127,0.2
20.982,-49.24,3.52,-0.581,2.241,0.032,0.098,0.130,2.1
20.982,-49.22,3.52,-0.578,2.239,0.034,0.098,0.132,0.2
20.986,-49.05,3.34,-0.610,2.267,0.015,0.098,0.113,3.8
20.986,-49.03,3.34,-0.602,2.262,0.018,0.098,0.116,0.2
20.988,-48.70,3.16,-0.624,2.280,0.001,0.098,0.099,2.0
20.988,-48.68,3.16,-0.619,2.277,0.002,0.098,0.101,0.2
20.992,-48.52,3.16,-0.550,2.232,0.023,0.098,0.121,3.5
20.992,-48.50,3.16,-0.541,2.226,0.027,0.098,0.125,0.3
20.996,-48.24,2.99,-0.549,2.234,0.018,0.098,0.116,3.7
20.996,-48.22,2.99,-0.540,2.228,0.022,0.098,0.120,0.3
21.000,-47.93,2.99,-0.481,2.189,0.049,0.098,0.147,3.7
21.000,-47.91,2.99,-0.476,2.186,0.052,0.098,0.150,0.2
21.004,-47.65,2.99,-0.462,2.179,0.074,0.098,0.172,3.8
21.004,-47.63,2.99,-0.459,2.177,0.077,0.098,0.176,0.3
21.008,-47.34,2.81,-0.572,2.261,0.037,0.098,0.135,3.7
21.008,-47.32,2.81,-0.566,2.257,0.040,0.098,0.138,0.2
21.012,-47.06,2.81,-0.537,2.238,0.056,0.098,0.154,3.8
21.012,-47.04,2.81,-0.531,2.234,0.060,0.098,0.158,0.3
21.016,-46.75,2.64,-0.599,2.284,0.030,0.098,0.129,3.7
21.016,-46.75,2.64,-0.589,2.277,0.035,0.098,0.133,0.3
21.019,-46.45,2.46,-0.622,2.300,0.011,0.098,0.108,2.7
21.019,-46.42,2.46,-0.618,2.297,0.012,0.098,0.109,0.1
21.023,-46.21,2.46,-0.541,2.243,0.033,0.098,0.131,3.9
21.023,-46.18,2.46,-0.536,2.239,0.036,0.098,0.134,0.2
21.027,-45.90,2.29,-0.555,2.251,0.018,0.098,0.116,3.8
21.027,-45.88,2.29,-0.549,2.247,0.020,0.098,0.118,0.2
21.031,-45.59,2.29,-0.479,2.196,0.046,0.098,0.145,3.9
21.031,-45.59,2.29,-0.474,2.193,0.048,0.098,0.147,0.2
21.035,-45.31,2.29,-0.450,2.174,0.068,0.098,0.166,3.7
21.035,-45.29,2.29,-0.447,2.172,0.070,0.098,0.168,0.2
21.039,-45.03,2.11,-0.544,2.239,0.031,0.098,0.129,3.8
21.039,-45.00,2.11,-0.539,2.236,0.033,0.098,0.131,0.2
21.043,-44.74,2.11,-0.496,2.203,0.049,0.098,0.147,3.9
21.043,-44.74,2.11,-0.491,2.200,0.051,0.098,0.149,0.2
21.047,-44.48,2.11,-0.463,2.177,0.071,0.098,0.170,3.9
21.047,-44.46,2.11,-0.460,2.175,0.073,0.098,0.172,0.2
21.051,-44.19,1.93,-0.557,2.241,0.033,0.098,0.131,3.8
21.051,-44.19,1.93,-0.551,2.237,0.035,0.098,0.134,0.2
21.055,-43.93,1.93,-0.505,2.201,0.051,0.098,0.149,3.8
21.055,-43.93,1.93,-0.499,2.196,0.054,0.098,0.152,0.2
21.059,-43.67,1.93,-0.474,2.175,0.072,0.098,0.170,3.8
21.059,-43.65,1.93,-0.472,2.173,0.073,0.098,0.172,0.2
21.062,-43.39,1.76,-0.558,2.232,0.035,0.098,0.133,3.2
21.062,-43.36,1.76,-0.554,2.228,0.036,0.098,0.134,0.2
21.066,-43.15,1.76,-0.519,2.199,0.044,0.098,0.143,3.7
21.066,-43.12,1.76,-0.514,2.195,0.047,0.098,0.145,0.2
21.070,-42.86,1.76,-0.484,2.170,0.061,0.098,0.159,3.8
21.070,-42.86,1.58,-0.485,2.170,0.060,0.098,0.158,0.2
21.072,-42.58,1.58,-0.544,2.210,0.030,0.098,0.129,2.0
21.072,-42.56,1.58,-0.542,2.208,0.031,0.098,0.129,0.2
21.076,-42.42,1.58,-0.516,2.185,0.033,0.098,0.132,3.2
21.076,-42.40,1.58,-0.511,2.181,0.035,0.098,0.134,0.2
21.080,-42.18,1.58,-0.464,2.142,0.052,0.098,0.150,3.8
21.080,-42.16,1.58,-0.460,2.139,0.055,0.098,0.153,0.2
21.082,-41.90,1.58,-0.464,2.140,0.055,0.098,0.153,2.1
21.082,-41.90,1.58,-0.463,2.138,0.056,0.098,0.154,0.2
21.086,-41.75,1.41,-0.526,2.178,0.022,0.098,0.120,3.7
21.086,-41.75,1.41,-0.519,2.172,0.024,0.098,0.122,0.2
21.090,-41.48,1.41,-0.461,2.124,0.039,0.098,0.138,3.8
21.090,-41.48,1.41,-0.455,2.120,0.042,0.098,0.141,0.2
21.094,-41.24,1.41,-0.416,2.085,0.060,0.098,0.158,3.9
21.094,-41.22,1.41,-0.413,2.083,0.062,0.098,0.160,0.2
21.098,-41.00,1.41,-0.418,2.080,0.068,0.098,0.166,3.7
21.098,-40.98,1.41,-0.416,2.078,0.070,0.098,0.168,0.2
21.102,-40.79,1.41,-0.434,2.085,0.071,0.098,0.169,3.8
21.102,-40.76,1.41,-0.432,2.083,0.073,0.098,0.171,0.2
21.104,-40.54,1.41,-0.460,2.100,0.065,0.098,0.163,2.0
21.104,-40.52,1.41,-0.459,2.099,0.066,0.098,0.164,0.2
21.108,-40.41,1.41,-0.463,2.096,0.071,0.098,0.169,3.6
21.108,-40.39,1.41,-0.461,2.094,0.073,0.098,0.171,0.2
21.112,-40.17,1.41,-0.484,2.104,0.071,0.098,0.169,3.8
21.112,-40.15,1.23,-0.487,2.106,0.069,0.098,0.167,0.3
21.114,-39.91,1.23,-0.546,2.144,0.040,0.098,0.138,2.1
21.114,-39.91,1.23,-0.544,2.143,0.040,0.098,0.138,0.2
21.117,-39.78,1.23,-0.539,2.135,0.034,0.098,0.132,2.3
21.117,-39.76,1.23,-0.537,2.133,0.035,0.098,0.133,0.2
21.121,-39.60,1.23,-0.489,2.091,0.047,0.098,0.146,3.9
21.121,-39.58,1.23,-0.481,2.085,0.051,0.098,0.148,0.3
21.123,-39.36,1.23,-0.472,2.074,0.054,0.098,0.152,2.2
21.124,-39.34,1.23,-0.469,2.072,0.056,0.098,0.154,0.2
21.127,-39.19,1.23,-0.462,2.059,0.061,0.098,0.159,3.8
21.128,-39.17,1.23,-0.459,2.057,0.063,0.098,0.161,0.2
21.130,-38.95,1.23,-0.469,2.060,0.061,0.098,0.159,2.0
21.130,-38.93,1.23,-0.468,2.059,0.062,0.098,0.160,0.3
21.132,-38.82,1.23,-0.480,2.065,0.058,0.098,0.156,1.9
21.132,-38.80,1.23,-0.479,2.064,0.059,0.098,0.157,0.2
21.136,-38.69,1.23,-0.468,2.049,0.068,0.098,0.166,3.8
21.136,-38.69,1.23,-0.465,2.047,0.070,0.098,0.168,0.2
21.140,-38.47,1.23,-0.478,2.049,0.072,0.098,0.170,3.9
21.140,-38.47,1.23,-0.475,2.047,0.073,0.098,0.172,0.2
21.144,-38.27,1.23,-0.488,2.049,0.076,0.098,0.174,3.7
21.144,-38.25,1.23,-0.486,2.047,0.078,0.098,0.176,0.2
21.148,-38.07,1.23,-0.503,2.052,0.078,0.098,0.177,3.8
21.148,-38.05,1.23,-0.502,2.051,0.079,0.098,0.178,0.2
21.152,-37.88,1.23,-0.520,2.057,0.080,0.098,0.178,3.9
21.152,-37.86,1.23,-0.518,2.055,0.081,0.098,0.179,0.2
21.154,-37.68,1.23,-0.537,2.065,0.076,0.098,0.174,2.0
21.154,-37.66,1.23,-0.536,2.064,0.077,0.098,0.175,0.2
21.158,-37.57,1.41,-0.467,2.009,0.125,0.098,0.224,3.6
21.158,-37.55,1.41,-0.469,2.010,0.126,0.098,0.225,0.2
21.160,-37.38,1.41,-0.524,2.047,0.118,0.098,0.216,2.2
21.160,-37.35,1.41,-0.528,2.049,0.118,0.098,0.216,0.2
21.164,-37.24,1.41,-0.606,2.100,0.104,0.098,0.201,3.8
21.164,-37.22,1.41,-0.606,2.099,0.104,0.098,0.202,0.2
21.169,-37.00,1.41,-0.662,2.134,0.092,0.098,0.190,4.2
21.169,-36.98,1.41,-0.660,2.132,0.094,0.098,0.191,0.3
21.173,-36.72,1.23,-0.776,2.208,0.035,0.098,0.134,3.8
21.173,-36.70,1.23,-0.770,2.204,0.037,0.098,0.135,0.2
21.177,-36.44,1.23,-0.691,2.140,0.054,0.098,0.152,4.0
21.177,-36.41,1.23,-0.686,2.137,0.056,0.098,0.154,0.2
21.179,-36.13,1.23,-0.681,2.130,0.054,0.098,0.152,2.0
21.179,-36.13,1.23,-0.678,2.128,0.055,0.098,0.153,0.2
21.182,-35.98,1.23,-0.666,2.115,0.058,0.098,0.156,2.2
21.182,-35.98,1.23,-0.663,2.113,0.059,0.098,0.157,0.2
21.184,-35.82,1.23,-0.652,2.102,0.063,0.098,0.161,2.1
21.184,-35.80,1.23,-0.650,2.100,0.064,0.098,0.162,0.2
21.188,-35.67,1.05,-0.699,2.129,0.032,0.098,0.130,3.6
21.188,-35.65,1.05,-0.692,2.124,0.034,0.098,0.132,0.2
21.192,-35.41,1.05,-0.635,2.077,0.045,0.098,0.143,3.8
21.192,-35.41,1.05,-0.629,2.072,0.047,0.098,0.146,0.2
21.196,-35.17,1.05,-0.583,2.032,0.064,0.098,0.162,3.8
21.196,-35.15,1.05,-0.580,2.029,0.065,0.098,0.163,0.2
21.198,-34.93,1.05,-0.583,2.028,0.066,0.098,0.164,2.1
21.198,-34.93,1.05,-0.581,2.026,0.067,0.098,0.165,0.3
21.201,-34.82,1.23,-0.514,1.974,0.110,0.098,0.208,3.1
21.201,-34.80,1.23,-0.515,1.974,0.112,0.098,0.210,0.2
21.205,-34.62,1.23,-0.578,2.015,0.109,0.098,0.207,3.7
21.205,-34.62,1.23,-0.579,2.015,0.110,0.098,0.208,0.2
21.209,-34.42,1.23,-0.652,2.063,0.097,0.098,0.194,3.8
21.209,-34.40,1.23,-0.652,2.062,0.098,0.098,0.195,0.2
21.213,-34.21,1.41,-0.622,2.037,0.135,0.098,0.233,3.8
21.213,-34.18,1.41,-0.624,2.039,0.136,0.098,0.234,0.2
21.216,-33.97,1.41,-0.692,2.086,0.123,0.098,0.221,2.2
21.216,-33.94,1.41,-0.695,2.088,0.123,0.098,0.221,0.2
21.220,-33.81,1.41,-0.778,2.144,0.107,0.098,0.205,3.9
21.220,-33.79,1.41,-0.778,2.144,0.109,0.098,0.207,0.3
21.223,-33.53,1.41,-0.828,2.178,0.096,0.098,0.193,2.8
21.223,-33.51,1.41,-0.827,2.177,0.097,0.098,0.194,0.2
21.227,-33.31,1.41,-0.851,2.192,0.094,0.098,0.192,3.8
21.227,-33.29,1.41,-0.849,2.190,0.096,0.098,0.194,0.2
21.231,-33.03,1.23,-0.942,2.253,0.050,0.098,0.148,3.8
21.231,-33.00,1.23,-0.934,2.247,0.053,0.098,0.151,0.2
21.235,-32.72,1.23,-0.882,2.206,0.065,0.098,0.163,3.8
21.235,-32.70,1.23,-0.876,2.202,0.067,0.098,0.165,0.2
21.239,-32.41,1.23,-0.839,2.172,0.082,0.098,0.181,3.8
21.239,-32.39,1.23,-0.835,2.169,0.085,0.098,0.183,0.2
21.243,-32.11,1.23,-0.839,2.169,0.089,0.098,0.188,3.8
21.243,-32.11,1.23,-0.837,2.167,0.091,0.098,0.189,0.1
21.247,-31.85,1.23,-0.844,2.170,0.097,0.098,0.195,3.9
21.247,-31.82,1.23,-0.842,2.168,0.099,0.098,0.197,0.2
21.251,-31.56,1.23,-0.870,2.186,0.098,0.098,0.196,3.8
21.251,-31.54,1.23,-0.868,2.184,0.100,0.098,0.198,0.2
21.255,-31.30,1.41,-0.814,2.145,0.149,0.098,0.247,3.9
21.255,-31.28,1.41,-0.816,2.146,0.151,0.098,0.249,0.2
21.259,-31.01,1.41,-0.924,2.223,0.135,0.098,0.233,3.7
21.259,-30.99,1.41,-0.926,2.224,0.136,0.098,0.234,0.2
21.262,-30.75,1.41,-1.001,2.278,0.123,0.098,0.222,3.4
21.263,-30.73,1.41,-1.000,2.277,0.125,0.098,0.223,0.2
21.266,-30.49,1.41,-1.049,2.312,0.120,0.098,0.218,3.7
21.267,-30.47,1.41,-1.046,2.310,0.122,0.098,0.220,0.2
21.269,-30.16,1.41,-1.079,2.334,0.115,0.098,0.213,2.0
21.269,-30.14,1.41,-1.079,2.334,0.116,0.098,0.214,0.2
21.273,-29.97,1.41,-1.105,2.353,0.117,0.098,0.216,3.8
21.273,-29.94,1.41,-1.102,2.351,0.120,0.098,0.218,0.2
21.277,-29.64,1.41,-1.128,2.371,0.123,0.098,0.221,3.9
21.277,-29.62,1.41,-1.126,2.369,0.125,0.098,0.223,0.2
21.279,-29.27,1.41,-1.159,2.393,0.118,0.098,0.216,2.1
21.279,-29.24,1.41,-1.159,2.393,0.119,0.098,0.217,0.2
21.281,-29.07,1.41,-1.189,2.416,0.112,0.098,0.210,2.0
21.281,-29.05,1.41,-1.187,2.415,0.114,0.098,0.212,0.2
21.285,-28.87,1.41,-1.181,2.412,0.130,0.098,0.228,3.8
21.285,-28.85,1.41,-1.178,2.410,0.132,0.098,0.231,0.2
21.289,-28.52,1.41,-1.215,2.438,0.133,0.098,0.232,3.3
21.289,-28.48,1.41,-1.214,2.437,0.135,0.098,0.232,0.2
21.291,-28.20,1.41,-1.257,2.470,0.125,0.098,0.223,2.0
21.291,-28.20,1.41,-1.256,2.469,0.126,0.098,0.224,0.2
21.295,-28.02,1.41,-1.257,2.472,0.143,0.098,0.241,3.7
21.295,-28.00,1.41,-1.255,2.471,0.145,0.098,0.243,0.2
21.299,-27.67,1.41,-1.301,2.507,0.148,0.098,0.246,3.8
21.299,-27.65,1.41,-1.299,2.505,0.150,0.098,0.248,0.2
21.303,-27.30,1.41,-1.354,2.548,0.148,0.098,0.246,3.8
21.303,-27.28,1.41,-1.352,2.547,0.151,0.098,0.249,0.2
21.306,-26.91,1.41,-1.404,2.587,0.146,0.098,0.244,3.3
21.307,-26.88,1.41,-1.401,2.586,0.148,0.098,0.246,0.2
21.309,-26.53,1.23,-1.485,2.648,0.115,0.098,0.213,2.2
21.309,-26.49,1.23,-1.485,2.648,0.115,0.098,0.214,0.2
21.313,-26.27,1.23,-1.490,2.655,0.115,0.098,0.213,3.9
21.313,-26.23,1.23,-1.483,2.650,0.119,0.098,0.217,0.2
21.317,-25.79,1.05,-1.550,2.700,0.084,0.098,0.183,3.8
21.317,-25.77,1.05,-1.541,2.694,0.088,0.098,0.187,0.2
21.319,-25.33,1.05,-1.523,2.682,0.092,0.098,0.190,2.1
21.319,-25.31,1.05,-1.517,2.678,0.095,0.098,0.193,0.2
21.322,-25.07,0.88,-1.535,2.693,0.079,0.098,0.177,2.9
21.322,-25.03,0.88,-1.528,2.688,0.081,0.098,0.180,0.2
21.326,-24.72,0.88,-1.456,2.638,0.108,0.098,0.206,3.8
21.326,-24.70,0.88,-1.450,2.634,0.111,0.098,0.209,0.2
21.330,-24.28,0.88,-1.420,2.616,0.135,0.098,0.232,3.8
21.330,-24.24,0.88,-1.417,2.613,0.137,0.098,0.235,0.2
21.333,-23.82,0.88,-1.448,2.638,0.135,0.098,0.233,2.2
21.333,-23.78,0.88,-1.448,2.637,0.136,0.098,0.234,0.2
21.337,-23.54,0.70,-1.548,2.712,0.100,0.098,0.198,3.9
21.337,-23.50,0.70,-1.542,2.708,0.103,0.098,0.200,0.2
21.341,-23.04,0.70,-1.522,2.696,0.115,0.098,0.213,3.9
21.341,-23.02,0.70,-1.517,2.693,0.117,0.098,0.216,0.1
21.345,-22.53,0.53,-1.589,2.747,0.085,0.098,0.184,3.9
21.345,-22.49,0.53,-1.581,2.741,0.089,0.098,0.188,0.2
21.349,-22.01,0.53,-1.537,2.712,0.108,0.098,0.206,3.8
21.349,-21.99,0.53,-1.529,2.707,0.113,0.098,0.211,0.2
21.353,-21.51,0.35,-1.591,2.753,0.086,0.098,0.184,3.8
21.353,-21.49,0.35,-1.582,2.747,0.090,0.098,0.189,0.2
21.357,-21.03,0.35,-1.532,2.713,0.115,0.098,0.213,3.8
21.357,-21.00,0.35,-1.525,2.708,0.119,0.098,0.217,0.2
21.361,-20.55,0.35,-1.517,2.705,0.140,0.098,0.237,3.8
21.361,-20.50,0.35,-1.513,2.702,0.143,0.098,0.241,0.2
21.365,-20.02,0.18,-1.640,2.796,0.099,0.098,0.196,3.8
21.365,-20.00,0.18,-1.630,2.789,0.104,0.098,0.202,0.3
21.369,-19.50,0.18,-1.616,2.781,0.115,0.098,0.214,3.7
21.369,-19.45,0.18,-1.611,2.778,0.119,0.098,0.217,0.2
21.373,-18.97,0.00,-1.683,2.832,0.089,0.098,0.188,3.9
21.373,-18.93,0.00,-1.677,2.827,0.092,0.098,0.190,0.1
21.377,-18.43,0.00,-1.609,2.781,0.127,0.098,0.225,4.0
21.377,-18.40,0.00,-1.604,2.777,0.130,0.098,0.229,0.2
21.379,-17.88,-0.18,-1.682,2.834,0.099,0.098,0.197,2.2
21.379,-17.84,-0.18,-1.679,2.833,0.100,0.098,0.198,0.2
